id,파일럿,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명,L1_위임인가,L2_위임된법형식,L3_확신도,L4_메모,L2_병존형식
G0073,Y,학교복합시설 설치 및 운영ㆍ관리에 관한 법률,7,학교복합시설 운영협의회,② 운영협의회의 구성ㆍ운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정할 수 있다.,조례로,위임자치법규,조례,자치법규,경기도교육청 학교복합시설 설치 및 운영에 관한 조례,위임,조례,5,,
G0074,Y,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,노인이 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,영암군 어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 조례,위임,조례,5,,
G0075,Y,교육시설 등의 안전 및 유지관리 등에 관한 법률,9,교육시설 관리실태 등의 평가ㆍ점검 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교육시설 등의 안전 및 유지관리 등에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0076,Y,한국장학재단 설립 등에 관한 법률,38,장학금계정의 용도 등,대통령령으로 정하는 사항,대통령령,시행령,대통령령,법령,한국장학재단 설립 등에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0077,Y,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,15,정원의 관리,① 교육감은 조직 간 균형 있고 합리적인 정원관리를 위하여 지방공무원의 종류별ㆍ직급별 정원책정기준을 해당 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,경기도교육감 소속 지방공무원 정원 조례,위임,조례,5,,
G0078,Y,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부산광역시 금정구 학교 밖 청소년 지원 조례,위임,조례,5,,
G0079,Y,학생맞춤통합지원법,15,학생맞춤통합지원 협력체계의 구축,③ 제1항에 따른 협력체계의 구성ㆍ운영에 필요한 사항은 해당 시ㆍ도의 조례로 정한다.,조례로 정한다,위임자치법규,조례,자치법규,경기도교육청 학생맞춤통합지원 조례,위임,조례,5,,
G0080,Y,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 금천구 평생학습 진흥 조례,위임,조례,5,,
G0081,Y,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,5,숙박시설을 갖춘 학교교과교습학원의 등록,"② 제1항에 따른 숙박시설의 위치, 환경기준, 시설·설비기준, 영양사 및 생활지도 담당인력 배치기준 등에 관한 사항은 지역적 여건과 학원의 규모 등을 고려하여 시·도 조례로 정한다.",시.도 조례로,위임자치법규,조례,자치법규,충청남도 학원의 설립ㆍ운영 및 과외교습에 관한 조례,위임,조례,5,,
G0082,Y,지방자치단체의 교육경비 보조에 관한 규정,4,보조의 신청등,①지방자치단체의 장은 해당 연도 보조사업에 대하여 각급학교의 장에게 보조대상사업 및 그 예산액을 통지하고 보조신청서를 제출하도록 하여야 한다. 이 경우 해당 지방자치단체의 조례로 정하는 바에 따라 관할 교육감 또는 교육장을 거쳐 보조대상사업 및 그 예산액을 통지하거나 보조신청서를 제출하게 할 수 있다.,조례로,위임자치법규,조례,자치법규,봉화군 교육경비 보조금 지원 조례,위임,조례,5,,
G0083,Y,지방교육자치에 관한 법률,26,사무의 위임ㆍ위탁 등,"①교육감은 조례 또는 교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관, 소속교육기관 또는 하급교육행정기관에 위임할 수 있다.",교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관,위임자치법규,조례,자치법규,제주특별자치도교육감 행정권한 위임에 관한 규칙,위임,교육규칙,4,"'조례 또는 교육규칙' 병렬 — 표지어구 기준 교육규칙(목록 외 값) 기재, 조례 병존(자동추출 '조례'는 다른 축). G0113과 동일 문장·다른 표본 축.",조례
G0084,Y,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,대구광역시 서구 학교급식 지원에 관한 조례,위임,조례,5,,
G0085,Y,초ㆍ중등교육법 시행령,77,고등학교 입학전형의 실시권자,4. 해당 지역에 거주하는 학생·학부모 등을 대상으로 실시한 여론조사 결과가 시·도 조례로 정하는 기준을 충족할 것. 이 경우 여론조사 내용에는 제3호 각 목의 사항이 포함되어야 한다.,조례로 정하는 기준을 충족할,위임자치법규,조례,자치법규,대전광역시교육감의 고등학교 입학전형 실시지역 지정 및 해제에 관한 조례,위임,조례,5,,
G0086,Y,교육감 소속 지방공무원 평정규칙,23,자격증 등의 가산점,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하는 특수직급의 신규임용시험 또는 전직시험에 응시하여 임용된 사람의 해당 자격증,인사규칙에서,위임자치법규,,자치법규,전북특별자치도교육감 소속 지방공무원 인사 규칙,인용,해당없음,3,지방공무원 임용령 제17조에 따른 '인사규칙에서 정하는' 사항의 원용 — 본 문장이 새로 규율권한을 넘기는 것이 아니라 기존 위임의 결과를 지시. API(위임자치법규)와 불일치 — 감사 대상 오류 후보.,
G0087,Y,학교용지 확보 등에 관한 특례법,9,권한의 위임,② 교육감은 해당 교육규칙으로 정하는 바에 따라 제3조에 따른 인접 학교용지의 확보에 관한 업무와 교육감의 의견 표시에 관한 업무를 시·군·구의 교육장에게 위임할 수 있다.,교육규칙으로,위임자치법규,조례,자치법규,경상남도교육감 행정권한의 위임에 관한 규칙,위임,교육규칙,4,권한 행정위임의 규율을 교육규칙에 맡기는 문언. 문언이 요구하는 형식은 '교육규칙'(교육감 제정 자치법규) — L2 값 목록 부재로 목록 외 값 기재. '조례'로 강제 매핑하면 자동추출의 자치법규 하위형식 혼동이 은폐됨.,
G0088,Y,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,울산광역시 남구 평생교육 진흥 조례,위임,조례,5,,
G0089,Y,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,진천군 평생학습 조례,위임,조례,5,,
G0090,Y,지방교육재정교부금법,7,기준재정수입액,대통령령으로 정한다,대통령령,시행령,대통령령,법령,지방교육재정교부금법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0091,Y,사립학교법 시행령,14,지정외부감사대상 학교법인 및 지정외부감사인,그 밖에 지정외부감사대상학교법인의 선정 또는 지정외부감사인의 지정에 필요한 세부사항은 교육부장관이 정하여 고시한다.,교육부장관이 정하여 고시한다,위임행정규칙,고시,행정규칙,사학기관 외부감사인 지정 등에 관한 고시,위임,고시,5,,
G0092,Y,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,춘천시 평생교육진흥 조례,위임,조례,5,,
G0093,Y,학점인정 등에 관한 법률 시행규칙,10,표준교육과정,표준교육과정의 세부 기준에 관하여 필요한 사항은 교육부장관이 정한다.,교육부장관이 정한다,위임행정규칙,,행정규칙,(제22차) 표준교육과정,위임,미특정,5,'교육부장관이 정한다' — 형식 무지정. 자동추출 공란(미포착) — 추출기 재현율 오류 사례.,
G0094,Y,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,강원특별자치도교육청 평생학습관 설치ㆍ운영에 관한 조례,위임,조례,5,,
G0095,Y,학점인정 등에 관한 법률 시행규칙,13,수수료의 납부,교육부장관이 정하는 수수료를 원장에게 내야 한다.,교육부장관이 정하는,위임행정규칙,미특정,행정규칙,학점인정 등에 관한 업무처리 지침,위임,미특정,5,,
G0096,Y,고등교육법,24,분교,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0097,Y,학교용지 확보 등에 관한 특례법 시행령,5,학교용지부담금의 부과ㆍ징수의 절차 등,"⑤ 제1항부터 제4항까지의 규정에서 정한 사항 외에 납부고지서의 서식, 그 밖에 부담금의 부과ㆍ징수에 필요한 사항은 특별시ㆍ광역시ㆍ특별자치시ㆍ도 또는 특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,세종특별자치시 학교용지부담금 부과ㆍ징수 및 특별회계 설치 조례,위임,조례,5,,
G0098,Y,학교안전사고 예방 및 보상에 관한 법률,4,학교안전사고 예방계획의 수립ㆍ시행,대통령령으로 정하는,대통령령,시행령,대통령령,법령,학교안전사고 예방 및 보상에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0099,Y,학생맞춤통합지원법,12,학생별 지원ㆍ관리 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,학생맞춤통합지원법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0100,Y,초ㆍ중등교육법,32,기능,14. 그 밖에 대통령령이나 시ㆍ도의 조례로 정하는 사항,조례로,위임자치법규,대통령령,자치법규,대구광역시 공립 유치원 및 학교 운영위원회 설치ㆍ운영에 관한 조례,위임,조례,4,"'대통령령이나 시·도의 조례' 복수 형식 — 표본 축 기준 조례 기재, 대통령령 병존(자동추출은 대통령령 축만 포착).",대통령령
G0101,,교육환경 보호에 관한 법률 시행령,16,교육환경평가서의 작성 및 제출,"⑥ 법 제6조제1항 각 호의 어느 하나에 해당하는 자(이하 “평가서작성자”라 한다)는 교육환경평가서를 작성ㆍ제출한 후 다음 각 호의 어느 하나에 해당하게 된 경우에는 그 사실을 즉시 교육감에게 통보하고, 해당 사유가 발생한 날부터 45일 이내에 교육환경평가서를 다시 작성하여 교육감에게 제출해야 한다. 이 경우 교육환경평가서의 내용 등은 제1항 및 제3항에 따르되, 교육규칙으로 정하는 바에 따라 그 내용의 일부를 생략할 수 있다.","따르되, 교육규칙으로",위임자치법규,조례,자치법규,강원특별자치도 교육환경평가서 작성 등에 관한 규칙,위임,교육규칙,4,'교육규칙으로 정하는 바에 따라 일부 생략 가능' — 부분위임. 문언이 요구하는 형식은 '교육규칙'(교육감 제정 자치법규) — L2 값 목록 부재로 목록 외 값 기재. '조례'로 강제 매핑하면 자동추출의 자치법규 하위형식 혼동이 은폐됨.,
G0102,,한국장학재단 설립 등에 관한 법률,53,민간기부자 예우,대통령령으로 정한다,대통령령,시행령,대통령령,법령,한국장학재단 설립 등에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0103,,영유아보육법,43,어린이집의 설치ㆍ운영만을 목적으로 하는 사회복지법인의 해산 및 잔여재산 처분에 관한 특례,교육부령으로 정한다,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0104,,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,수원시 보육 조례,위임,조례,4,"국립=교육부장관(형식 무지정)/공립=조례 병렬 위임 — 본 행 표본 축(표지어구) 기준 조례 기재, 미특정 축 병존.",미특정
G0105,,초ㆍ중등교육법 시행령,96,초등학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0106,,초ㆍ중등교육법 시행령,54,다문화교육지원센터의 설치ㆍ운영 등,2. 제2항에 따른 지역다문화교육지원센터의 경우: 해당 시ㆍ도의 조례,조례,위임자치법규,조례,자치법규,충청북도교육청 다문화교육 진흥 조례,위임,조례,4,호 단독 절단('…의 경우: 해당 시·도의 조례') — 본문 위임문과 결합하는 구조이나 지시된 형식은 명확.,
G0107,,지방교육자치에 관한 법률,32,교육기관의 설치,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,조례로,위임자치법규,대통령령,자치법규,대전광역시교육청 행정기구설치조례,위임,조례,4,"문언은 '대통령령 또는 조례' 복수 형식 위임 — 표본 축 기준 조례 기재, 대통령령 병존. 자동추출(대통령령)은 다른 축만 포착. G0004·G0175와 동일 문장.",대통령령
G0108,,직업교육훈련 촉진법,7,취업지원센터 설치ㆍ운영,④ 시ㆍ도교육감이 설치한 취업지원센터의 운영 등에 필요한 사항은 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부산광역시교육청 취업지원센터 설치ㆍ운영에 관한 조례,위임,조례,5,,
G0109,,초ㆍ중등교육법 시행령,59,의견 수렴 등,"2. 그 밖에 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시·도의 조례로 미리 학부모의 의견을 수렴하도록 정한 사항",시.도의 조례로 미리 학부모의,위임자치법규,조례,자치법규,광주광역시립학교 운영위원회 설치ㆍ운영에 관한 조례,위임,조례,4,"국립=학칙/공립=조례 병렬('조례로 …정한 사항' — 의견수렴 대상의 지정을 조례에 맡기는 부분위임) — 표본 축 조례 기재, 학칙(목록 외) 병존.",학칙
G0110,,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,강릉시 공공급식 지원에 관한 조례,위임,조례,5,,
G0111,,교원의 지위 향상 및 교육활동 보호를 위한 특별법,31,교원의 근무환경 실태조사,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교원의 지위 향상 및 교육활동 보호를 위한 특별법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0112,,영유아보육법,46,어린이집의 원장의 자격정지,교육부령으로 정한 급식기준,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙,인용,해당없음,3,'교육부령으로 정한'(완료형) 급식기준의 원용 — 급식기준 규율의 위임 원천은 동법 제33조이고 본 문장(자격정지 사유)은 그 기준을 지시할 뿐. 자동추출(부령)과 불일치 — 인용을 위임으로 오인한 추출기 정밀도 오류 사례로 판단.,
G0113,,지방교육자치에 관한 법률,26,사무의 위임ㆍ위탁 등,"①교육감은 조례 또는 교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관, 소속교육기관 또는 하급교육행정기관에 위임할 수 있다",①교육감은 조례,위임자치법규,조례,자치법규,전북특별자치도교육감 행정권한위임에 관한 조례,위임,조례,4,"'조례 또는 교육규칙' 병렬 — 표지어구 기준 조례 기재, 교육규칙 병존. G0083과 동일 문장·다른 표본 축.",교육규칙
G0114,,영유아보육법,15,놀이터 설치,교육부령으로 정한다,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0115,,취업 후 학자금 상환 특별법 시행령,7,채무자의 신고의무,4. 그 밖에 제1호부터 제3호까지에 준하는 것으로서 교육부장관이 정하는 사유,교육부장관이 정하는,위임행정규칙,미특정,행정규칙,2026학년도 2학기 취업 후 상환 학자금대출의 자격요건 등에 관한 고시,위임,미특정,5,,
G0116,,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,청송군 친환경무상급식 등 지원에 관한 조례,위임,조례,5,,
G0117,,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,강원특별자치도 친환경 학교급식 등 지원에 관한 조례,위임,조례,5,,
G0118,,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부천시 평생학습 기본 조례,위임,조례,5,,
G0119,,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,영월군 평생학습 조례,위임,조례,5,,
G0120,,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,대구광역시 수성구 평생교육진흥 조례,위임,조례,5,,
G0121,,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,부산광역시 영도구 영유아 보육 조례,위임,조례,4,"국립=교육부장관(형식 무지정)/공립=조례 병렬 위임 — 본 행 표본 축(표지어구) 기준 조례 기재, 미특정 축 병존.",미특정
G0122,,교육공무원법,23,인사기록,필요한 사항은 교육부령으로,교육부령,시행규칙,부령,법령,교육공무원 인사기록 및 인사사무 처리 규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0123,,교육국제화특구의 지정ㆍ운영 및 육성에 관한 특별법,4,특구의 지정 등,특구를 지정한 때에는 대통령령으로 정하는 바에 따라 그 내용을 관보에 고시하고,고시하고,위임행정규칙,대통령령,행정규칙,교육국제화특구 지정 고시,위임,대통령령,4,'대통령령으로 정하는 바에 따라 관보에 고시' — 위임 형식은 대통령령이고 '고시'는 공고행위(규범형식 위임 아님). API 구분(위임행정규칙)은 오분류로 판단 — 감사 대상 오류 후보.,
G0124,,한국학중앙연구원 육성법,2,출연금,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,한국학중앙연구원 육성법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0125,,산업교육진흥 및 산학연협력촉진에 관한 법률,36,"교직원, 연구원의 겸직 및 휴직",대통령령으로 정한다,대통령령,시행령,대통령령,법령,산업교육진흥 및 산학연협력촉진에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0126,,초ㆍ중등교육법,27,학력인정 시험,사항은 교육부령으로,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0127,,교육감 소속 지방공무원 평정규칙,16,경력의 평정점,④ 교육감은 경력평정을 할 때 해당 지방자치단체의 운용 여건을 고려하여 가산점을 부여할 특별한 사유가 있는 직위를 교육규칙으로 정할 수 있다.,교육규칙으로,위임자치법규,조례,자치법규,서울특별시교육청 지방공무원 인사규칙,위임,교육규칙,4,문언이 요구하는 형식은 '교육규칙'(교육감 제정 자치법규) — L2 값 목록 부재로 목록 외 값 기재. '조례'로 강제 매핑하면 자동추출의 자치법규 하위형식 혼동이 은폐됨.,
G0128,,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,거제시 평생교육 진흥 조례,위임,조례,5,,
G0129,,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,충청북도 학교 밖 청소년 지원조례,위임,조례,5,,
G0130,,초ㆍ중등교육법,43,입학자격 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0131,,평생교육법,31,학교형태의 평생교육시설,대통령령으로 정하는,대통령령,시행령,대통령령,법령,평생교육법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0132,,교육환경 보호에 관한 법률 시행령,16,교육환경평가서의 작성 및 제출,2. 제1항제2호의 내용 중 교육규칙으로 정하는 것,내용 중 교육규칙으로,위임자치법규,조례,자치법규,충청북도교육청 교육환경평가서 작성 등에 관한 규칙,위임,교육규칙,4,호 절단이나 '교육규칙으로 정하는 것' 부분위임 문형 완결. 문언이 요구하는 형식은 '교육규칙'(교육감 제정 자치법규) — L2 값 목록 부재로 목록 외 값 기재. '조례'로 강제 매핑하면 자동추출의 자치법규 하위형식 혼동이 은폐됨.,
G0133,,진로교육법,16,지역진로교육센터,② 제1항에 따른 지역진로교육센터의 구성ㆍ운영 및 전담기관의 지정 등에 필요한 사항은 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시교육청 진로교육 활성화 조례,위임,조례,5,,
G0134,,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 양천구 평생교육진흥 조례,위임,조례,5,,
G0135,,재외국민의 교육지원 등에 관한 법률 시행령,15,공무원이 아닌 사람의 채용기간 등,필요한 사항은 교육부령으로,교육부령,시행규칙,부령,법령,재외국민의 교육지원 등에 관한 법률 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0136,,고등교육법,35,학위의 수여,사항은 대통령령으로,대통령령,시행령,대통령령,법령,고등교육법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0137,,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,노인이 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,시흥시 노인 보호구역 지정 및 관리에 관한 조례,위임,조례,5,,
G0138,,폐교재산의 활용촉진을 위한 특별법 시행령,3,수의계약에 의한 대부 및 매각 등,②법 제5조제1항에 따라 대부하는 경우 연간 대부료율은 해당 폐교재산평정가격(「공유재산 및 물품 관리법 시행령」 제31조제2항에 따른 가격을 말한다. 이하 같다)을 고려하여 해당 특별시ㆍ광역시ㆍ특별자치시ㆍ도 및 특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,강원특별자치도교육비특별회계 소관 공유재산관리 조례,위임,조례,5,괄호 내 공유재산법 시행령 정의 원용은 인용 성격이나 주문은 조례 위임.,
G0139,,영유아보육법,12,국공립어린이집의 설치 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,영유아보육법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0140,,고등교육법,21,교육과정의 운영,대통령령으로 정한다,대통령령,시행령,대통령령,법령,고등교육법 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0141,,교육공무원법,14,승진후보자 명부,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교육공무원 승진규정|교육공무원임용령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0142,,국립대학법인 서울대학교 설립ㆍ운영에 관한 법률,14,결격사유 등,대통령령으로 정하는 사유로 학교 경영에,대통령령,시행령,대통령령,법령,국립대학법인 서울대학교 설립ㆍ운영에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0143,,재외국민의 교육지원 등에 관한 법률,11,학교운영위원회,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,재외국민의 교육지원 등에 관한 법률 시행령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0144,,초ㆍ중등교육법,21,교원의 자격,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교원자격검정령|교원자격검정령|교원자격검정령,위임,대통령령,4,절단 문장이나 위임 문형 완결.,
G0145,,교육공무원법,32,장학금 지급 및 의무복무,③ 교육감은 제2항에 따라 장학금을 받는 사람에 대하여 교육대학을 졸업한 후 4년의 범위에서 해당 관할지역에서 실시되는 교사 공개전형에 응시하여 합격한 경우에는 장학금을 받은 기간의 2배의 범위에서 시·도의 조례로 정하는 기간 동안 교육감이 정하는 지역에서 복무하도록 의무를 부과할 수 있다.,시.도의 조례로 정하는 기간,위임자치법규,조례,자치법규,전라남도교육감 추천 광주교육대학교 입학생 장학금 지급에 관한 조례,위임,조례,4,"조례(복무기간) 위임 + '교육감이 정하는 지역'(형식 무지정, 개별 지정 성격 병존) — 표본 축 조례 기재.",미특정
G0146,,교원의 지위 향상 및 교육활동 보호를 위한 특별법,21,법률지원단의 구성 및 운영,② 제1항에 따른 법률지원단의 구성 및 운영에 필요한 사항은 교육부령 또는 시ㆍ도의 교육규칙으로 정한다.,교육규칙으로,위임자치법규,부령,자치법규,인천광역시교육청 교육활동 보호 법률지원단 구성 및 운영에 관한 규칙,위임,교육규칙,4,"'교육부령 또는 시·도의 교육규칙' 병렬 — 표지어구 기준 교육규칙(목록 외 값) 기재, 부령 병존(자동추출 '부령'은 다른 축).",부령
G0147,,독학에 의한 학위취득에 관한 법률 시행령,9,시험과목 면제 대상,교육부령으로 정하는,교육부령,시행규칙,부령,법령,독학에 의한 학위취득에 관한 법률 시행규칙,위임,부령,4,절단 문장이나 위임 문형 완결.,
G0148,,초ㆍ중등교육법 시행규칙,42,수수료,① 시험 응시 수수료 및 검정고시에 따르는 각종 증명서의 발급 수수료에 관하여 필요한 사항은 시·도의 조례로 정한다.,조례로,위임자치법규,고시,자치법규,제주특별자치도 교육ㆍ학예에 관한 각종 수수료 징수 조례,위임,조례,5,자동추출(고시)과 불일치 — 문언은 조례 위임(추출기 정밀도 오류 사례).,
G0149,,사립학교법 시행령,7,개방이사의 추천ㆍ선임 등,학교의 교육과정 등을 확인하여 제6항에 따른 학교법인을 고시한다.,고시한다,위임행정규칙,고시,행정규칙,종교지도자 양성 대학법인 지정 고시,인용,해당없음,3,영 제6항의 요건에 해당하는 학교법인의 확인·지정 공고('…을 고시한다') — 규율권한 이전이 아닌 개별(집합적) 지정 권한 부여로 판단(경계규칙: 개별 처분 권한만 부여=인용). 자동추출(고시)과 불일치. 고시가 법령보충적 기능을 한다고 보면 위임 재해석 여지.,
