id,조문문장,T5_L1,T5_L2,T5_확신도,T5_근거
P01782,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라고 규율권한을 하위 규범(대통령령)에게 명시적으로 넘기고 있다.
P01783,대통령령으로 정하는,위임,대통령령,5,문장이 '대통령령으로 정하는' 형태로 규율권한을 하위규범(대통령령)에 넘기고 있어 위임에 해당한다.
P01784,대통령령으로 정하는,위임,대통령령,5,"종결어구 '대통령령으로 정하는'은 규율사항을 대통령령에 위임하는 표현으로, 형식을 명시하여 규율권한을 넘긴다."
P01785,계약학과등의 설치·운영에 필요한 사항은 교육부장관이 정하여 고시한다.,위임,고시,5,문장이 종결형으로 '필요한 사항은 교육부장관이 정하여 고시한다'라고 하여 규율권한을 교육부장관(고시 형식)에게 이전하므로 위임으로 본다.
P01786,교육부령으로 정하는,위임,부령,5,문장이 '교육부령으로 정하는' 형태로 규율사항의 일부를 하위 규범(부령)에 맡기는 전형적 위임 표현이다.
P01787,교육부령으로 정하는,위임,부령,5,"문장이 '교육부령으로 정하는'으로 종결되어 규율권한을 교육부령에 넘기므로 위임이며, 문언상 법형식은 부령(교육부령)이다."
P01788,③ 제1항 및 제2항에서 규정한 사항 외에 현장실습 운영에 관한 세부사항은 교육부장관이 정하여 고시한다.,위임,고시,5,문장이 명확히 '교육부장관이 정하여 고시한다'라고 규율권한을 하위 규범(고시)으로 넘기고 있다.
P01789,③ 제1항 및 제2항에서 규정한 사항 외에 현장실습 운영에 관한 세부사항은 교육부장관이 정하여 고시한다.,위임,고시,5,문장이 문말 종결형으로 '교육부장관이 정하여 고시한다'며 현장실습 운영에 관한 세부사항의 규율권한을 교육부장관에게 넘기고 있다.
P01790,교육부령으로 정하는 지정신청서에,판단불가,미특정,4,문장이 불완전한 절편으로 맥락·종결어미가 없어 위임인지 인용인지 판정할 수 없음. 다만 표지어구에 '교육부령'이 있으므로 형식은 특정되지 않은 행정청(교육부) 제정 규범을 가리키는 것으로 보이나 문장 전체가 없어 확정 불가.
P01791,4. 그 밖에 교육부령으로 정하는 서류,위임,부령,5,문장이 교육부령으로 정하는 서류를 규정하도록 문말 종결형으로 규율권한을 하위 규범(부령)에 위임하고 있다.
P01792,지정을 신청한 기관 또는 단체에 교육부령으로 ,위임,부령,4,"문장이 '지정을 신청한 기관 또는 단체에 교육부령으로'로 끝나며 규율권한을 하위 규범(교육부령)에 넘겨서 정하도록 하고 있어 위임으로 판단되며, 표지어구 '교육부령'은 부령 형식임."
P01793,재무제표 작성에 필요한 세부 사항은 교육부장관이 정하여 고시한다.,위임,고시,5,문장이 종결형으로 '정하여 고시한다'라며 교육부장관에게 세부 사항 규율권한을 부여하므로 위임이다. 법형식은 '고시'로 명시되어 있다.
P01794,국가데이터처장이 고시하는 한국표준산업분류에 따른 사업종목 중 별표에 규정된,인용,해당없음,4,문장이 '국가데이터처장이 고시하는 한국표준산업분류에 따른 사업종목'이라고 다른 기관이 정한 고시를 가리키고 있으므로 규율권한을 넘긴다기보다 특정 고시를 지시하는 인용으로 보인다. 문장이 일부로 보이나 '고시하는'은 준용·인용 성격임.
P01795,예산 편성·집행에 필요한 세부 사항은 교육부장관이 정하여 고시한다.,위임,고시,5,문장은 '세부 사항은 교육부장관이 정하여 고시한다'로 규율권한을 교육부장관의 고시로 넘기고 있다.
P01796,연결재무제표의 작성에 필요한 세부 사항은 교육부장관이 정하여 고시한다.,위임,고시,5,문장이 종결형으로 '정하여 고시한다'라고 하여 교육부장관에게 작성에 필요한 세부사항 규율권한을 명시적으로 위임한다.
P01797,그 밖에 설립인가와 관련하여 교육부장관이 필요하다고 인정하는 서류,위임,미특정,4,"문장이 '교육부장관이 필요하다고 인정하는 서류'로 교육부장관에게 서류의 범위를 정할 재량을 부여하므로 하위규범에 규율권한을 넘기는 위임에 해당하며, 법형식은 특정하지 않고 '교육부장관'이 정하도록 하고 있어 미특정으로 분류함."
P01798,기술지주회사 설립인가에 필요한 사항은 교육부장관이 정하여 고시한다.,위임,고시,5,문장이 종결형으로 '정하여 고시한다'라고 하여 규율권한을 교육부장관(고시)에게 넘기고 있다.
P01799,그 밖에 변경인가와 관련하여 교육부장관이 필요하다고 인정하는 서류,판단불가,미특정,4,문장이 불완전한 명사구로 끝나 맥락 없이 단독 판단 불가—권한 위임인지 단순 명시인지 알 수 없음. 표지어구는 '인정하는'으로 주체는 교육부장관이나 형식 지정은 없어 미특정으로 표시함.
P01800,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라며 규율권한을 하위 규범(대통령령)에 넘기고 있으며 명시적 법형식은 대통령령이다.
P01801,대통령령으로 정한다,위임,대통령령,5,종결형 문장으로 '대통령령으로 정한다'라고 규율권한을 하위 규범(대통령령)으로 넘기고 있어 포괄적 위임이다.
P01802,대통령령으로 정한다,위임,대통령령,5,종결형 단독 문장으로 '대통령령으로 정한다'는 표현은 규율권한을 하위규범(대통령령)에 넘기는 위임이다.
P01803,대통령령으로 정한다,위임,대통령령,5,종결형 '대통령령으로 정한다'로 규율사항을 하위법인 대통령령에 명시하도록 권한을 넘기고 있다.
P01804,필요한 사항은 대통령령으로,판단불가,대통령령,4,문장이 '필요한 사항은 대통령령으로'로 절단되어 맥락이 부족하여 규율권한을 넘기는지(위임)인지 확정하기 어렵지만 표지어구에 '대통령령'이 있어 형식은 대통령령을 지시하는 것으로 판단됨.
P01805,대통령령으로 정하는,위임,대통령령,4,문장이 '대통령령으로 정하는'으로 끝나고 규율권한의 일부를 대통령령에 위임하는 표현이므로 위임으로 판단된다.
P01806,사항은 대통령령으로,판단불가,대통령령,3,문장이 불완전(‘사항은 대통령령으로’로 끝나는 절)이라 위임인지 인용인지 단독 판정 불가하나 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 표기함.
P01807,대통령령으로 정하는,위임,대통령령,4,문장이 '대통령령으로 정하는'으로 끝나며 규율권한의 일부 또는 전부를 하위 규범(대통령령)에 맡기는 표지어구 형태이므로 위임으로 판정한다.
P01808,대통령령으로 정하는 바에,위임,대통령령,5,문장이 '대통령령으로 정하는 바에'로 끝나며 규율할 사항을 대통령령에 위임하는 표현이므로 위임으로 판단된다.
P01809,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 규율권한을 하위 규범(대통령령)에게 넘기므로 위임에 해당한다.
P01810,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라고 규율권한을 하위 규범(대통령령)에 넘기고 있다.
P01811,대통령령으로 정한다,위임,대통령령,5,종결형 문장으로 '대통령령으로 정한다'는 규율권한을 대통령령에 위임하는 표현이다.
P01812,대통령령으로 정한다,위임,대통령령,5,종결형 문장 '대통령령으로 정한다'로 규율권한을 하위 법령인 대통령령에 넘기고 있어 위임에 해당한다.
P01813,필요한 사항은 대통령령으로,위임,대통령령,5,문장이 '필요한 사항은 대통령령으로'로 끝나며 규율권한을 대통령령에 넘기는 종결형 위임 표현이다.
P01814,대통령령으로 정하는 사람의,판단불가,대통령령,4,문장이 불완전하여 맥락 없이 판단하기 어렵다. 다만 표지어구에 '대통령령'이 있어 형식을 지정하는 것으로 보인다.
P01815,사항은 대통령령으로,판단불가,대통령령,3,문장이 '사항은 대통령령으로'로 불완전하게 잘려 있어 문언만으로 위임인지 인용인지 판정할 수 없다. 다만 표지어구에 '대통령령'이 있어 법형식은 대통령령으로 보인다.
P01816,대통령령으로 정하는,위임,대통령령,4,문장이 ‘대통령령으로 정하는’ 형태로 상위 규범이 규율사항의 내용을 대통령령에 위임하는 표현이므로 위임으로 판단된다. 문장이 단독 문구지만 형식 지정은 대통령령이다.
P01817,대통령령으로 정하는 바에,위임,대통령령,4,문장이 '대통령령으로 정하는 바에'로 끝나며 규율권한 일부를 하위 규범(대통령령)에 위임하는 표현이다.
P01818,대통령령으로 정하는,위임,대통령령,4,문장이 '대통령령으로 정하는'으로 끝나며 규율권한을 대통령령에 넘기는 전형적 위임 표현이다.
P01819,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 단독으로 '대통령령으로 정한다'라 하여 규율권한을 하위 법령(대통령령)에 명시적으로 넘긴다.
P01820,대통령령으로 정한다,위임,대통령령,5,종결형 단문 '대통령령으로 정한다'는 규율권한을 하위법령(대통령령)에 넘기는 전형적 위임 표현이다.
P01821,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 하위 규범에 규율권한을 명시적으로 넘긴다.
P01822,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 규율권한을 하위법령인 대통령령에 넘긴다.
P01823,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라고 규율권한을 하위법령(대통령령)에 명시적으로 넘기고 있다.
P01824,대통령령으로 정한다,위임,대통령령,5,문장이 종결형으로 '대통령령으로 정한다'라며 규율권한을 하위법령(대통령령)에 명시적으로 위임하고 있다.
P01825,대통령령으로 정한다,위임,대통령령,5,문장이 단독으로 '대통령령으로 정한다'로 종결되어 규율권한을 하위 규범(대통령령)에 넘기므로 위임에 해당한다.
P01826,대통령령으로 정한다,위임,대통령령,5,문장 자체가 종결형으로 '대통령령으로 정한다'라며 규율권한을 하위 규범(대통령령)에 넘기고 있다.
P01827,대통령령으로 정한다,위임,대통령령,5,종결형 단문 '대통령령으로 정한다'로 하위규범에 규율권한을 명시적으로 넘기고 있으며 법형식으로 대통령령을 직접 지정하고 있다.
P01828,대통령령으로 정한다,위임,대통령령,5,간단 종결형 '대통령령으로 정한다'로 규율권한을 하위법(대통령령)에게 넘기고 있다.
P01829,대통령령으로 정한다,위임,대통령령,5,문장이 종결형 '대통령령으로 정한다'로 규율권한을 하위 규범(대통령령)에게 넘기고 있다.
P01830,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 시설·장소의 범위를 하위규범(조례)에 맡기고 있어 규율권한을 넘긴다.
P01831,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,문언이 '조례로 정하는 시설 또는 장소'로 규율 사항의 일부를 조례에 위임하는 표현이므로 위임으로 판단하고 법형식은 조례로 명시한다.
P01832,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,문장이 '조례로 정하는' 형태로 조례에 마련할 사항의 범위를 맡기므로 하위규범에 규율권한을 넘긴다.
P01833,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 규율 사항의 일부를 조례에 위임하는 전형적 위임문구이므로 위임으로 판단하고 법형식은 조례로 명시하고 있다.
P01834,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,문장이 '조례로 정하는' 형태로 하위 규범(조례)에 규율할 사항의 범위를 지시하므로 위임에 해당하고 법형식은 조례로 명시되어 있다.
P01835,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문구 '조례로 정하는'은 범위를 정하도록 규율권한을 지방자치단체 조례에 넘기고 있어 위임으로 판단된다.
P01836,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는 시설 또는 장소'라고 규정하여 구체적 범위·요건의 설정을 조례에 위임하는 내용이다.
P01837,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,"문장이 '조례로 정하는' 형태로 시설·장소의 범위를 조례에 위임하는 규정이므로 위임이며, 법형식은 조례로 명시되어 있다."
P01838,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규정할 사항의 범위를 맡기므로 규율권한을 넘기는 위임이다.
P01839,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 ‘조례로 정하는’ 형태로 조례에 규율권한을 명시적으로 부여하므로 위임으로 판정된다.
P01840,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는 시설 또는 장소'로 규율사항의 일부를 하위 규범(조례)에 맡기고 있어 명백한 위임이며 법형식으로 '조례'를 지시하고 있다.
P01841,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언이 '조례로 정하는' 형태로 하위 규범(조례)에 규율권한을 넘기고 있다.
P01842,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문구가 '조례로 정하는'으로 조례에 규율권한을 부여하는 위임 형태이며 정의 규정의 일부로 요건을 조례에 맡기고 있다.
P01843,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 넘기며 요건 일부를 위임하는 전형적 표현이다.
P01844,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는'형태로 시설 또는 장소의 범위를 하위 규범(조례)에 위임하고 있으므로 위임에 해당하고 법형식은 조례이다.
P01845,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 시설 또는 장소의 범위를 하위 규범인 조례에 맡기고 있어 규율권한을 위임한다.
P01846,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는'으로 조례에 규율권한을 명시적으로 넘기고 있어 범위·요건을 정하도록 위임한다.
P01847,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는'으로 시설·장소의 범위를 지방자치단체 조례에 맡기고 있어 하위 규범에 규율권한을 넘긴다.
P01848,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언이 '조례로 정하는' 형태로 요건 일부를 하위 규범(조례)에 맡기고 있어 규율권한을 넘긴다.
P01849,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언이 '조례로 정하는 시설 또는 장소'로서 규율권한을 조례에 위임하고 있어 포괄적·부분적 요건을 조례에 맡긴다.
P01850,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,문장에서 ‘조례로 정하는’은 명시적으로 하위규범(조례)에 규율권한을 넘겨 해당 시설·장소의 범위를 정하도록 하고 있다.
P01851,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 특정 사항의 규율권한을 조례에 위임하고 있어 위임에 해당한다.
P01852,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언이 '조례로 정하는'으로 규율권한을 지방자치단체 조례에 위임하는 표현이므로 위임으로 판단한다.
P01853,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언이 '조례로 정하는'으로 하위 규범(조례)에 규율권한을 넘기고 있으므로 위임으로 판정한다.
P01854,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언이 '조례로 정하는'으로 조례에 시설·장소의 범위를 정하도록 규율권한을 넘기고 있다.
P01855,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는'으로 규율 내용을 조례에 위임하고 있어 하위 규범에 규율권한을 넘긴다.
P01856,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,문장에서 '조례로 정하는 시설 또는 장소'라며 범위를 조례에 맡기고 있어 하위 규범에 규율권한을 넘기는 위임 표현이다.
P01857,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 부여하므로 하위규범에 정할 사항의 범위를 넘긴다.
P01858,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언은 '조례로 정하는' 형태로 조례에게 시설·장소의 범위를 정하도록 규율권한을 부여하므로 포괄적 위임에 해당한다.
P01859,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에 '조례로 정하는'이라고 명시하여 특정 사항의 범위를 조례에 위임하고 있으므로 위임으로 판단된다.
P01860,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 특정 사항의 규율권한을 조례에 넘기므로 위임으로 판단된다.
P01861,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장 '조례로 정하는'은 시설·장소의 범위를 하위 규범(조례)에 맡기는 위임형식이다.
P01862,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,"문장이 '조례로 정하는'으로 시설·장소의 범위를 정하도록 규율권한을 조례에 넘기고 있어 위임에 해당하며, 명시된 법형식은 '조례'이다."
P01863,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는 시설 또는 장소'라고 하여 관련 사항의 판단·결정을 조례에 맡기므로 규율권한을 넘기는 위임이다.
P01864,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 명시적으로 넘기고 있어 위임으로 판단된다.
P01865,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는 시설 또는 장소'로 시설·장소의 범위를 조례에 정하도록 명시해 규율권한을 하위 규범(조례)으로 넘긴다.
P01866,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문구 '조례로 정하는'은 시설·장소의 범위를 하위 규범(조례)에 맡기는 부분 위임이다.
P01867,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,"문장에서 ‘조례로 정하는’으로 규율사항의 일부를 하위 규범(조례)에 맡기고 있어 위임이며, 명시된 법형식은 '조례'이다."
P01868,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문구가 '조례로 정하는'으로 시설·장소의 범위를 조례에 위임하는 규정으로 규율권한을 넘긴다.
P01869,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 넘기고 있어 위임으로 판단된다.
P01870,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 시설 또는 장소의 범위를 지방자치단체 조례에 맡기므로 규율권한을 넘기는 위임이다.
P01871,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 ‘조례로 정하는’ 형태로 조례에 규율 권한을 부여하고 있어 하위규범에 정할 사항의 범위를 넘긴다.
P01872,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 ‘조례로 정하는’ 형태로 명시적·미래지시적 위임을 하므로 하위 규범에 규율권한을 넘긴다.
P01873,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 ‘조례로 정하는’ 형태로 조례에 규율권한을 위임하고 있어 범위·요건 등을 조례에 맡기고 있다.
P01874,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는'으로 끝나며 노인이 자주 왕래하는 장소의 구체적 범위를 조례에 정하도록 규율권한을 넘기고 있다.
P01875,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 넘기고 있어 특정 사항의 범위를 지시하는 위임 규정이다.
P01876,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언이 '조례로 정하는'으로 시설·장소의 범위를 하위 규범(조례)에 맡기는 명백한 위임 표현이다.
P01877,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문구가 '조례로 정하는'으로 조례에 특정 사항의 규율권한을 넘기고 있어 위임에 해당한다.
P01878,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,"문장에서 '노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소'처럼 조례에 그 시설·장소를 정하도록 규율권한을 넘기고 있으므로 위임이며, 명시적 법형식은 '조례'이다."
P01879,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,"문장에서 '조례로 정하는'으로 시설·장소의 범위를 조례가 정하도록 규율권한을 넘기고 있어 위임이며, 법형식으로 '조례'를 명시하고 있다."
P01880,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는'이라고 하여 구체적 범위·요건을 조례에 맡기므로 하위 규범에 규율권한을 넘긴다.
P01881,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 하위 규범(조례)에 규율권한을 넘기고 있어 범위 위임이다.
P01882,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 넘기고 있어 위임에 해당한다.
P01883,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는'은 규율권한을 지방자치단체 조례에 위임하는 표현이므로 위임으로 판단된다.
P01884,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 시설·장소의 범위를 지방자치단체 조례에 맡기므로 규율권한을 하위 규범에 넘긴다.
P01885,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는'으로 조례에 시설·장소의 범위를 정하도록 규율권한을 넘기고 있어 위임으로 판단됨.
P01886,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 특정 사항(시설 또는 장소)을 조례에 정하도록 규율권한을 넘기고 있으므로 위임이며 법형식은 조례이다.
P01887,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 시설·장소의 구체적 범위를 조례에 위임하고 있어 규율권한을 넘긴다.
P01888,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,문장이 '조례로 정하는' 형태로 조례에 규율권한을 부여하는 부분위임을 명시한다.
P01889,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 시설 또는 장소의 범위를 하위 규범(조례)에 위임하고 있어 규율권한을 넘긴다.
P01890,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한 일부를 위임하고 있어 위임으로 판단됨.
P01891,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 일부 요건을 조례에 맡기므로 규율권한을 넘기는 위임이다.
P01892,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언 '조례로 정하는'은 규율권한을 조례에 넘겨 요건 범위를 정하도록 위임하는 표현이다.
P01893,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,문장이 '조례로 정하는' 형태로 시설 또는 장소의 범위를 조례에 맡기며 규율권한을 위임하고 있다.
P01894,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언은 '조례로 정하는'으로 시설 또는 장소의 범위를 조례에 맡기므로 규율권한을 하위 규범(조례)에게 넘긴다.
P01895,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는'은 형식과 범위를 조례에 맡기는 발령형 위임이다.
P01896,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 맡기므로 위임에 해당한다.
P01897,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 맡기고 있어 하위 규범에 정할 사항의 범위를 지시한다.
P01898,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는 시설 또는 장소'로 규율권한을 조례에 맡기고 있어 범위를 위임한다.
P01899,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장에서 '조례로 정하는'이라고 명시하여 그 범위·대상을 조례가 정하도록 규율권한을 넘기고 있다.
P01900,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는' 형태로 조례에 규율권한을 명시적으로 넘기고 있다.
P01901,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는 시설 또는 장소'라고 하여 범위를 조례에 맡기므로 하위 규범에 규율권한을 넘기는 위임이다.
P01902,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는'이라고 명시하여 특정 사항의 범위를 하위 규범(조례)에 맡기므로 위임에 해당한다.
P01903,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,4,문장이 '조례로 정하는' 형태로 하위 규범(지방자치단체 조례)에 정할 사항의 범위를 지시하여 규율권한을 위임한다.
P01904,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문언이 '조례로 정하는' 형태로 요건 일부를 하위 규범(조례)에 맡기므로 위임이며 법형식은 조례로 명시됨.
P01905,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,위임,조례,5,문장이 '조례로 정하는 시설 또는 장소'라고 하여 조례에 규율권한을 넘기고 있어 위임에 해당한다.
